age,monthly_income,savings,investment_amount,risk_level,account_balance,market_volatility_index,interest_rate,inflation_rate,stock_index_change,recommendations
47,135608,8600,3400,1,11377.3,14.01,3.69,3.94,-0.05,Mutual Funds
19,161730,17800,11200,0,5898.77,19.32,4.41,4.4,0.65,Gold
21,89478,3400,1700,1,2041.95,28.47,2.23,1.7,-0.8,Index Funds
34,127537,43700,19200,1,6477.39,30.73,1.91,3.22,1.1,ETFs
49,154503,9100,4600,0,12484.68,22.12,2.21,2.63,1.0,Fixed Deposit
43,135523,23100,13400,1,4295.1,36.26,0.58,1.28,-0.71,Index Funds
30,7747,1700,700,2,9112.94,22.46,3.76,5.17,-1.44,Stocks
44,128855,5200,3800,0,4374.35,22.08,2.07,1.23,0.1,Fixed Deposit
39,195222,34800,17100,0,18396.92,11.09,1.91,4.27,0.15,Fixed Deposit
44,70725,44500,35600,0,7919.75,26.53,3.19,2.57,-0.91,Fixed Deposit
49,134981,43100,16800,0,7577.81,31.26,2.46,1.96,-0.39,Bonds
46,89654,11600,5800,2,21760.21,13.43,4.91,4.34,-2.13,Stocks
50,171845,31000,21700,1,7224.17,19.16,2.1,3.87,1.02,Mutual Funds
43,124346,19900,14100,0,2482.01,33.44,3.26,2.58,1.04,Bonds
18,72435,33500,15400,0,10354.18,20.98,1.9,3.56,0.07,Bonds
29,61886,45700,27400,1,10103.13,17.25,4.96,2.23,1.15,Mutual Funds
22,71803,2800,1700,1,12017.91,30.17,2.5,5.32,0.2,ETFs
39,36551,6300,3100,1,4795.71,15.9,3.35,2.57,2.42,ETFs
36,121216,5600,1800,2,7961.93,36.87,1.07,2.23,-1.94,Real Estate
21,16394,44300,31900,0,5418.83,13.17,3.8,4.76,0.3,Fixed Deposit
30,74092,24400,8300,0,2776.31,31.2,1.71,1.09,1.36,Bonds
42,8890,5200,2100,0,14485.4,24.99,2.52,2.34,2.24,Gold
48,46606,31500,21400,0,12433.5,36.1,4.47,2.88,1.19,Fixed Deposit
27,92313,21200,10200,1,5959.55,13.79,4.87,5.41,-1.56,Index Funds
47,146699,42200,28700,2,10647.68,30.34,2.41,5.75,-2.48,Crypto
41,13792,23200,13000,0,3743.81,27.16,4.26,4.58,-0.25,Gold
18,179073,24600,17200,0,13871.8,24.4,0.74,3.46,0.54,Bonds
48,159969,51800,22800,0,3812.67,24.74,4.31,4.2,1.42,Fixed Deposit
44,73148,14500,6700,2,1234.57,31.66,3.33,3.07,-1.64,Stocks
19,129243,9300,4700,1,7873.76,38.13,2.7,2.49,0.92,Mutual Funds
47,125174,8400,3700,2,11339.47,12.74,4.5,5.75,-4.02,Real Estate
46,159555,65200,20900,1,9381.05,10.59,4.3,1.58,-1.11,Mutual Funds
28,129358,75200,39100,1,10906.33,34.17,1.84,2.73,1.29,Index Funds
28,53555,26800,10500,1,6221.07,13.25,4.06,5.5,-1.79,Index Funds
37,22159,15100,5900,2,9607.2,39.6,0.95,4.62,-1.66,Stocks
18,115510,10800,4900,2,9816.87,28.58,4.2,1.15,-0.79,Real Estate
19,111530,42100,28600,2,18467.27,29.53,3.54,1.12,0.27,Crypto
41,85077,67200,20800,1,2424.85,15.97,0.9,3.58,-1.67,Mutual Funds
21,40920,26700,8000,1,8799.49,17.21,3.57,3.42,-0.05,Mutual Funds
41,24457,18900,7000,0,10846.97,29.78,3.11,3.21,-0.65,Fixed Deposit
37,83953,79200,42800,2,13379.74,37.29,3.18,2.51,1.74,Stocks
20,57995,51200,18400,1,11218.69,39.47,1.81,5.93,-0.73,Mutual Funds
21,176829,3100,1200,1,13195.27,15.94,1.7,2.36,0.04,ETFs
49,14692,31300,11600,0,5167.85,14.02,3.93,3.45,0.25,Fixed Deposit
39,181830,34800,16400,0,15458.84,11.69,1.66,3.02,-0.63,Fixed Deposit
27,42065,21400,7100,2,15523.36,36.05,2.51,1.85,1.15,Real Estate
33,104299,8300,3300,0,5126.3,18.84,3.63,2.01,1.47,Gold
31,168678,55500,41100,1,12051.55,10.05,0.86,5.59,-0.73,Index Funds
29,16534,26200,13100,0,6063.69,16.71,3.18,5.29,0.44,Gold
32,45397,19600,9000,1,11517.59,20.21,3.15,2.0,-1.39,Index Funds
37,96387,89700,31400,0,12252.29,39.73,3.58,5.38,0.85,Fixed Deposit
24,6016,59500,19600,1,14142.2,25.71,2.16,2.05,0.35,Mutual Funds
42,60591,72100,24500,0,15081.61,16.14,2.52,4.13,-0.55,Gold
42,28247,6300,3800,1,13182.49,20.04,1.98,1.41,0.49,ETFs
43,29300,31800,12400,1,11096.15,19.91,4.14,5.4,0.89,ETFs
26,87798,31700,14600,1,14303.64,10.59,1.09,1.26,1.85,Index Funds
33,14268,31500,21100,0,8988.25,14.06,4.83,3.77,0.6,Fixed Deposit
31,91807,9300,3200,1,2805.81,30.86,3.36,4.9,1.33,ETFs
42,17185,33700,11100,1,11350.61,13.61,4.49,1.58,2.86,Index Funds
29,199776,19600,13700,2,7050.85,16.92,2.42,3.02,-1.55,Crypto
25,175171,46200,31400,1,7213.32,20.52,2.0,1.21,1.76,ETFs
39,144643,58300,36700,2,2167.71,32.73,4.55,4.41,-1.32,Crypto
19,43044,86800,46900,2,6921.86,27.47,0.94,2.54,-1.07,Crypto
36,56214,51000,33700,1,10110.27,30.67,1.03,3.8,-0.02,Mutual Funds
20,197300,81300,56900,1,7654.94,27.01,1.85,5.66,-0.97,ETFs
50,119752,54600,24000,2,9941.38,30.51,4.82,2.53,-1.22,Stocks
24,53984,13200,9800,0,8459.24,10.09,3.35,1.24,-0.09,Bonds
31,45774,11300,7100,1,11615.5,37.93,2.99,4.38,-0.5,Mutual Funds
23,7568,55300,26000,0,4935.35,13.33,3.67,4.93,-1.0,Gold
43,125151,92200,70100,2,2766.07,22.19,2.38,5.79,-1.43,Real Estate
42,198664,21500,13300,0,10037.45,33.13,3.91,1.79,2.14,Fixed Deposit
32,138767,69600,27800,1,7910.8,23.06,2.27,2.96,-1.8,Index Funds
34,129375,22200,17300,0,2561.25,38.41,4.22,5.22,-0.25,Fixed Deposit
50,184262,9800,6400,1,7593.25,24.03,1.7,5.03,1.68,ETFs
50,141330,38900,28800,1,2606.33,36.25,1.75,4.12,1.21,ETFs
30,44504,43500,27800,0,8601.31,34.32,2.85,2.35,0.35,Bonds
44,169231,59000,37800,1,7637.44,39.43,2.44,2.42,-0.94,Index Funds
24,18986,10200,7300,0,10645.9,37.8,3.42,1.62,-0.03,Fixed Deposit
29,66858,25100,16300,2,13465.95,36.94,2.14,5.61,-1.69,Real Estate
24,134312,16500,9200,1,5341.54,31.95,1.54,1.86,-0.43,ETFs
25,17666,54400,18000,0,14954.14,21.01,2.61,3.86,-0.45,Gold
41,43660,18800,7000,1,8747.27,13.18,3.02,3.92,-0.31,Mutual Funds
50,139633,61000,38400,1,9854.04,30.66,1.14,2.85,-1.18,Index Funds
35,31854,26600,11200,2,11698.41,39.36,3.01,2.76,-2.54,Crypto
26,69505,4900,2500,1,11871.24,31.8,1.94,4.34,1.88,ETFs
25,109488,61700,30900,1,9371.5,37.86,2.27,2.94,1.54,ETFs
22,188323,21700,6700,1,8311.66,34.13,1.76,2.28,1.31,Mutual Funds
35,27662,22900,7100,0,2119.2,14.89,4.69,3.0,0.57,Fixed Deposit
48,13392,17300,7100,0,2145.69,17.48,3.58,5.04,0.26,Gold
28,35535,49500,21300,2,9878.57,20.26,1.68,5.83,-1.04,Crypto
32,118569,22900,9600,1,6412.81,15.05,3.4,4.18,-0.88,Index Funds
29,57256,80500,58800,0,7110.77,27.45,4.32,4.91,2.18,Gold
30,94135,38400,30700,0,5098.32,39.26,2.31,3.66,2.52,Gold
49,132478,52700,19500,1,12008.24,32.84,4.23,4.12,-0.28,ETFs
45,40222,3600,2100,0,22600.38,22.7,1.19,5.94,0.01,Fixed Deposit
31,82373,30900,9900,0,14646.09,10.14,4.2,3.19,1.1,Fixed Deposit
28,128684,78200,24200,0,7950.17,19.4,2.93,1.33,0.14,Bonds
43,199407,23000,6900,0,15429.78,25.8,1.5,5.79,0.25,Fixed Deposit
29,15965,47000,23500,1,14496.65,19.73,2.33,4.97,-0.09,ETFs
48,29538,4500,2000,2,7750.41,13.33,4.95,2.99,-1.41,Real Estate
39,113066,6800,3100,1,12115.26,23.28,4.03,5.91,-0.56,ETFs
39,118252,60000,26400,1,14502.41,17.6,3.09,2.73,-0.2,Index Funds
31,144182,61900,42100,2,9234.26,37.28,1.02,2.86,-3.78,Crypto
42,163338,5700,3000,0,8391.01,13.05,2.38,4.05,0.13,Fixed Deposit
35,189064,46000,30800,1,11595.76,11.47,1.68,2.37,3.48,Mutual Funds
34,103806,21000,10300,1,8731.94,10.16,0.82,4.49,-0.64,Mutual Funds
45,142982,18900,14200,1,15500.26,19.84,2.94,1.76,0.05,Mutual Funds
45,115989,5100,2200,1,9580.93,29.81,4.5,1.54,-1.26,Index Funds
18,95982,19700,15000,2,6608.16,31.91,3.54,3.67,-1.64,Real Estate
39,126626,1800,1100,1,7622.86,23.6,1.62,3.78,-0.47,Mutual Funds
28,124176,29200,11100,0,11947.37,30.53,3.08,1.53,0.94,Fixed Deposit
43,136278,8300,4700,0,10276.71,20.8,4.74,5.82,-0.35,Fixed Deposit
32,127409,25400,10900,2,8995.41,30.03,3.75,3.87,-0.56,Crypto
50,28419,58500,35100,0,13414.12,11.22,3.6,1.76,0.74,Gold
25,186708,19000,7800,1,4064.97,21.72,4.86,2.56,0.3,ETFs
40,55015,16200,7800,0,5961.39,33.73,4.09,5.0,0.42,Gold
37,127096,33100,22200,0,12101.66,34.09,1.11,3.62,1.79,Bonds
50,112059,2300,1200,0,4999.53,31.48,2.06,1.94,1.6,Fixed Deposit
20,190340,45800,17900,0,13822.13,16.13,4.84,1.51,2.24,Fixed Deposit
44,115687,62500,33100,2,12858.92,17.42,2.7,3.15,-1.82,Crypto
31,92939,30900,19500,1,13188.29,39.88,1.0,2.69,1.29,Mutual Funds
35,154213,7100,2700,0,10963.13,13.1,2.56,4.28,2.47,Gold
26,110878,46900,17800,1,3353.1,15.42,3.64,5.63,-2.45,Mutual Funds
25,192116,14600,6400,1,6568.5,13.9,4.99,2.24,-0.03,ETFs
44,169899,82600,59500,1,8321.75,19.83,1.96,5.28,-0.81,Index Funds
40,191892,28500,16500,1,13265.58,16.31,2.81,5.6,-0.04,ETFs
21,67623,24900,15200,1,13964.15,24.93,4.46,5.51,1.72,Index Funds
50,80450,31400,23200,1,20198.34,24.28,2.1,5.76,-2.09,ETFs
35,98426,5200,3500,1,15591.97,37.05,0.99,5.21,0.37,Mutual Funds
50,122845,47400,25100,0,11410.79,11.04,4.77,3.97,-0.85,Bonds
36,158371,8300,3700,0,5535.65,19.6,2.7,3.05,1.77,Fixed Deposit
32,48585,17100,12000,2,13716.55,27.9,2.76,3.46,0.63,Real Estate
20,114225,40700,16300,0,11138.25,28.14,3.3,5.36,-0.24,Fixed Deposit
43,69044,26600,15400,1,4869.9,24.4,0.52,2.51,-1.08,Index Funds
34,178629,15100,9700,1,10270.55,34.47,4.69,1.8,3.99,Mutual Funds
36,185152,4400,2300,0,9233.36,11.88,2.13,1.7,0.42,Bonds
20,114556,62900,37100,2,13217.18,34.46,2.29,5.13,-2.13,Stocks
38,7693,30500,16200,1,2897.75,24.84,1.28,4.81,-1.22,ETFs
44,100259,40200,30600,1,15025.1,14.01,2.2,3.49,0.62,Index Funds
50,30939,1800,900,2,14052.1,36.57,4.12,2.37,-1.1,Real Estate
19,184997,13000,4400,1,8421.68,29.48,4.1,4.39,-0.91,Index Funds
33,179013,31600,16400,1,3101.8,14.91,4.71,1.19,1.48,Index Funds
20,157906,64100,43600,0,3287.65,11.01,2.31,3.84,1.35,Bonds
38,23047,32600,14000,1,12734.82,14.23,3.69,2.99,-0.86,ETFs
46,31105,27800,12000,1,15810.24,28.26,2.78,5.89,1.76,Mutual Funds
32,80766,8200,5700,1,13669.42,15.38,4.12,3.54,-1.07,Mutual Funds
21,151779,14800,8300,0,9073.09,16.77,3.71,3.76,2.54,Bonds
37,158048,49600,38200,1,3804.66,10.75,2.16,4.56,0.81,Mutual Funds
26,49262,4700,2600,0,3595.64,31.69,2.02,3.42,0.44,Bonds
49,130117,2700,1600,1,12570.57,34.31,1.64,2.12,-0.58,Index Funds
26,28776,18600,11200,1,3420.35,33.91,3.09,3.69,-0.91,Mutual Funds
50,166152,18700,13300,2,6581.73,13.83,4.84,5.72,-3.49,Crypto
23,133376,25600,16600,0,8606.3,37.1,1.4,3.05,-0.44,Bonds
35,197445,43100,33200,1,5347.45,30.17,0.93,4.4,-0.02,Mutual Funds
23,142848,13500,9700,2,5058.68,36.93,1.04,5.89,-2.74,Crypto
38,97787,16000,8500,1,8398.0,23.41,4.02,5.15,1.24,Mutual Funds
27,132948,18800,8300,1,6497.69,23.11,2.08,4.3,-0.24,Mutual Funds
24,60016,55700,19500,1,11958.21,33.54,1.51,4.68,1.82,ETFs
49,145546,32100,20200,1,19110.76,12.8,2.09,5.68,-1.03,Index Funds
27,194125,71100,55500,1,13032.58,25.63,3.4,5.8,1.85,Mutual Funds
25,26959,17900,5400,0,5087.11,35.09,2.96,5.84,-0.67,Bonds
35,141602,21500,13500,0,12850.83,34.91,3.85,4.13,-0.08,Gold
50,124101,74000,28100,0,7760.07,38.68,2.03,2.92,0.32,Bonds
39,8748,67500,33800,0,8030.93,30.95,2.53,1.67,-0.06,Fixed Deposit
19,18545,43500,24400,1,13789.4,16.23,0.96,2.93,0.46,ETFs
26,132659,16700,5800,1,13117.89,10.61,0.83,5.71,-2.89,ETFs
36,170838,3500,1200,0,13227.77,24.38,2.58,5.45,-0.21,Bonds
30,78530,87200,59300,1,4287.11,25.41,1.86,3.62,-0.12,Mutual Funds
50,98557,33100,25800,2,3086.78,17.21,3.26,3.69,-2.98,Crypto
18,66087,76200,32800,0,13948.66,13.74,0.69,2.54,0.96,Fixed Deposit
41,73840,12800,4500,2,8076.78,27.59,1.05,3.27,-1.37,Real Estate
35,123451,52000,28600,2,11680.41,32.93,4.39,4.57,1.41,Stocks
36,190456,10100,6200,1,11078.43,39.79,3.05,3.01,0.13,ETFs
25,56005,45000,15800,1,13176.09,32.75,3.7,1.94,-0.86,Index Funds
33,182648,48300,34300,0,13564.49,33.81,4.29,3.7,1.51,Fixed Deposit
23,44353,24400,8800,0,5267.01,28.49,2.59,2.13,2.49,Gold
30,198075,27900,9500,1,22495.52,39.58,3.92,5.87,0.06,ETFs
25,57733,24300,18200,0,2076.14,29.2,2.86,2.95,2.06,Fixed Deposit
50,70318,39400,22500,1,10282.42,35.81,1.5,5.55,-0.26,Index Funds
37,159736,6500,4300,1,10219.35,38.37,2.02,2.13,1.44,Index Funds
43,72172,7300,5300,1,1709.25,37.9,2.71,1.95,-0.55,Mutual Funds
18,98264,8900,3100,0,6181.79,21.44,1.93,4.08,2.74,Gold
39,31736,26500,14300,1,12280.57,12.36,2.01,4.9,1.62,Index Funds
45,117859,33500,19100,0,6388.1,15.16,2.02,3.83,0.71,Gold
31,117181,20300,12800,1,4948.78,11.78,1.05,2.15,-3.8,Index Funds
35,136926,44600,20100,1,10266.49,13.16,0.88,1.19,0.67,Index Funds
46,95084,32500,14000,1,8387.01,15.54,0.71,4.09,-1.85,Index Funds
37,174695,35600,18900,0,7748.53,20.23,1.0,1.66,0.53,Gold
48,12392,17900,12700,0,13247.12,26.31,2.05,2.72,1.92,Fixed Deposit
45,60680,51800,32600,0,11643.3,31.35,3.17,4.38,1.03,Fixed Deposit
46,182789,34100,19100,1,13510.64,16.33,1.35,1.49,1.29,ETFs
28,55859,35200,23200,1,12997.45,30.18,4.5,1.64,-0.56,Index Funds
29,130657,28600,14000,1,2939.63,31.13,4.14,1.31,-2.29,ETFs
21,162381,73200,52700,1,5325.3,26.76,2.84,5.98,-1.16,Mutual Funds
20,199806,23500,11300,0,13313.53,37.11,3.76,2.94,-0.49,Gold
28,75467,29500,16500,0,6350.09,13.33,2.15,5.53,-0.02,Fixed Deposit
39,188734,43700,16600,0,15311.02,15.31,0.67,2.47,1.9,Gold
20,103506,23600,14600,1,9120.89,22.86,4.57,4.77,1.1,ETFs
39,114751,16100,9800,0,13351.24,13.8,1.08,2.1,3.33,Bonds
21,123906,10400,4800,2,11797.88,26.99,4.77,3.49,-1.5,Stocks
28,148760,3200,2500,1,6736.62,21.95,3.07,5.12,1.75,Index Funds
24,30342,3900,1200,1,15983.55,18.54,1.88,5.08,1.31,Index Funds
28,173229,2100,1000,1,17969.69,15.1,2.73,4.97,-0.17,ETFs
33,111308,67300,26200,1,9107.01,20.06,2.76,5.12,-1.44,ETFs
43,188155,7800,4100,1,15949.35,28.24,0.6,2.06,-0.92,ETFs
35,111081,50000,37000,1,4691.85,27.27,2.1,3.41,-1.0,Index Funds
18,94045,57000,29100,0,3068.99,14.91,3.83,3.42,2.57,Gold
29,39698,41700,29600,1,7492.63,13.75,2.8,5.45,1.24,Mutual Funds
20,115078,44900,28700,0,9923.4,10.8,1.6,2.48,1.3,Bonds
46,85623,26000,9900,0,14939.45,10.37,2.01,5.66,0.13,Bonds
37,27671,58600,20500,0,7028.82,36.39,4.38,3.25,-0.34,Gold
45,161256,16400,10800,1,11117.65,11.35,2.86,4.35,0.51,ETFs
20,98384,26000,19000,0,5980.04,31.94,2.88,2.34,0.15,Bonds
47,178179,79300,46800,0,9604.7,36.16,4.83,3.05,-0.14,Fixed Deposit
38,91202,6500,4900,1,14003.84,12.94,1.94,4.55,0.55,ETFs
50,56663,8100,3400,1,5373.41,23.09,2.66,3.56,-1.6,ETFs
25,20708,45800,28400,0,9785.48,38.87,4.15,5.65,0.4,Gold
35,96906,60200,39100,0,16004.48,35.02,3.92,4.69,-0.17,Gold
27,54811,49700,17900,2,14563.58,24.69,1.7,3.82,-1.07,Stocks
40,138883,5300,3000,1,10658.77,32.88,1.18,5.43,0.96,Index Funds
35,61250,35400,24100,1,15158.78,35.0,3.65,4.33,2.69,Index Funds
45,117547,41800,25900,1,6453.55,20.44,1.66,4.24,1.92,Mutual Funds
49,129249,17700,6700,0,9931.54,36.76,4.65,2.23,-0.42,Gold
34,39754,6400,4000,1,13801.0,24.11,1.08,2.97,1.0,Mutual Funds
50,147483,31400,15100,0,12791.11,25.83,1.93,4.42,1.27,Gold
20,138983,28300,16400,1,5423.29,39.99,0.75,5.46,0.18,ETFs
22,144752,52000,41100,0,8141.98,35.3,3.66,2.58,-0.04,Fixed Deposit
49,89896,36300,17400,0,12169.19,20.85,4.51,2.08,0.52,Fixed Deposit
28,76295,68000,33300,0,4461.19,10.31,3.36,3.97,3.77,Bonds
48,105689,39700,12700,0,3130.07,28.79,4.72,1.34,0.39,Bonds
21,16111,19900,7400,2,6834.03,31.12,1.08,4.57,-1.9,Crypto
43,42504,89100,67700,2,2488.4,29.52,0.89,4.52,-1.57,Crypto
40,137874,12100,4200,1,3225.56,39.04,4.27,2.77,-0.26,Mutual Funds
48,13155,29200,10200,2,14630.77,35.89,4.35,5.46,-1.87,Crypto
20,44384,11600,5900,1,4647.11,23.46,4.24,3.51,-0.2,ETFs
40,117561,25700,9000,1,6330.46,11.89,4.1,4.23,3.34,ETFs
24,52254,89500,26900,0,7549.77,24.28,2.13,2.05,-0.77,Bonds
31,26918,68300,32800,2,4832.81,30.68,1.48,3.09,-1.63,Real Estate
22,90981,3800,1300,1,9604.85,28.23,4.68,5.31,-0.31,Mutual Funds
26,196785,32800,10500,1,3480.66,26.14,1.88,2.06,-0.16,ETFs
48,35306,38100,19100,2,13169.51,24.06,2.29,2.95,-1.48,Stocks
35,152718,26200,8900,2,14232.3,18.81,3.65,2.59,-1.86,Real Estate
19,51843,28900,22000,1,11708.02,18.32,1.82,1.76,2.03,Index Funds
33,125975,25900,18400,0,9991.63,25.01,4.19,2.45,0.75,Fixed Deposit
49,101601,11100,5600,1,14311.92,14.82,0.82,2.16,-0.72,ETFs
50,112512,25500,15000,1,11232.63,20.22,4.06,5.62,-1.73,Index Funds
27,152443,33100,26100,1,2150.57,19.72,3.21,4.71,-0.78,ETFs
50,116472,42000,29400,2,14550.38,27.61,3.08,2.58,-1.84,Real Estate
43,138121,40500,31200,0,14088.01,12.0,2.56,4.82,-0.87,Gold
50,167688,39600,29300,1,12705.91,34.89,1.75,1.11,3.1,Mutual Funds
42,108727,44800,27300,0,1792.38,26.87,2.59,3.63,0.36,Gold
36,117893,26500,17200,2,17167.86,30.12,2.53,2.25,-0.93,Crypto
39,25932,9000,4800,0,13201.66,31.09,3.13,1.57,1.02,Fixed Deposit
23,122796,37200,17900,2,4532.3,18.74,1.77,5.42,-1.4,Stocks
42,34855,1600,1100,1,9979.37,24.11,0.85,2.0,-0.61,ETFs
25,197506,26500,17200,1,4957.08,38.69,1.15,5.11,-2.78,Mutual Funds
25,179088,24000,15100,1,11000.41,33.0,3.65,3.07,1.91,Mutual Funds
42,12400,55400,26600,0,5949.09,39.09,0.6,1.07,-0.3,Gold
20,122858,2100,1400,1,6614.54,32.39,4.35,4.66,-1.23,ETFs
21,178714,5300,3600,0,19857.49,15.27,3.62,3.98,0.97,Bonds
25,20151,7800,6200,1,15213.05,11.94,3.96,2.72,-1.57,ETFs
22,187479,40600,19900,2,18789.17,27.33,4.26,2.41,-1.48,Stocks
28,71690,25800,14400,1,7301.53,20.73,1.05,1.37,-0.57,Mutual Funds
45,9499,56200,44400,2,10339.55,18.26,4.2,5.71,-1.8,Stocks
31,11295,17900,11100,1,9862.62,34.22,2.77,3.47,-0.98,Index Funds
33,125885,57700,42700,1,7213.81,21.01,4.48,1.43,-0.3,ETFs
32,131071,79100,48300,1,7213.06,19.51,4.49,5.34,-0.16,ETFs
35,64040,87900,43100,2,5102.82,35.5,0.61,2.39,-1.99,Real Estate
27,17183,10200,4000,1,11062.59,35.39,2.22,2.02,-0.37,Index Funds
39,165371,47000,29100,1,14509.78,20.69,2.87,2.4,0.87,Mutual Funds
44,148946,27400,12100,1,16277.84,34.97,3.55,3.82,1.12,ETFs
45,121336,24500,19100,1,8045.93,35.52,1.79,1.37,-0.75,Index Funds
49,37711,88900,58700,0,4559.52,22.72,1.63,3.41,-0.28,Bonds
33,10539,52100,41700,1,8182.67,11.99,2.22,5.48,-0.37,Mutual Funds
43,189423,53800,17200,2,15287.38,10.05,2.75,1.94,-2.09,Stocks
20,197339,28600,14000,1,3890.65,25.7,4.78,2.66,-0.81,Index Funds
32,184426,2000,1100,1,15111.35,20.32,3.93,2.98,1.19,Mutual Funds
20,131063,56600,26600,1,6291.59,39.91,2.43,3.93,1.22,Mutual Funds
35,138629,78300,49300,2,23662.51,33.17,0.74,5.6,0.62,Stocks
29,43360,43500,31800,2,13704.54,32.84,1.26,2.97,-3.99,Real Estate
38,138272,12300,6000,1,13684.91,38.66,2.55,1.35,-1.17,Mutual Funds
47,183047,73700,33900,1,5362.69,36.63,4.16,2.74,0.7,Mutual Funds
31,26357,32000,17300,0,1116.88,19.55,2.21,1.95,2.57,Fixed Deposit
19,124121,4800,2000,1,7461.67,14.98,2.92,4.26,-0.02,Index Funds
32,82505,23900,19100,1,5029.21,32.38,4.51,1.15,0.14,ETFs
18,7869,18200,10900,1,2041.13,21.35,4.61,2.46,-0.17,ETFs
41,197207,62200,20500,1,9046.57,24.2,1.47,3.73,-1.96,Mutual Funds
18,55108,34000,22400,0,7568.13,28.91,0.7,2.39,0.53,Fixed Deposit
31,117296,4600,3200,2,9795.79,37.24,1.87,3.75,-2.28,Real Estate
24,99179,37800,23800,0,10185.31,22.57,3.63,1.57,-0.13,Bonds
22,95272,76600,39100,2,8979.25,33.5,4.78,5.71,0.13,Stocks
36,43467,11100,4000,1,15006.55,18.05,0.85,2.45,0.07,Mutual Funds
18,28328,13700,7500,1,4616.57,30.94,0.63,5.62,-1.95,Mutual Funds
48,96412,48100,35100,1,8461.02,10.05,4.48,2.63,-1.06,Index Funds
35,140059,35400,26600,1,17415.42,36.15,3.87,4.91,1.03,Index Funds
50,63871,41300,13200,1,12748.6,10.91,4.97,2.23,0.11,Mutual Funds
21,158471,25300,15700,1,3597.83,31.38,2.29,4.35,-1.05,Index Funds
30,133391,3200,2400,2,7779.92,11.39,2.37,2.62,-1.61,Stocks
40,182286,51000,16800,1,10391.53,17.99,1.28,3.55,1.2,Index Funds
31,91416,73500,32300,0,3908.39,24.92,1.02,4.37,0.05,Gold
40,75271,83700,46900,1,11082.52,22.6,3.1,3.94,-1.7,ETFs
42,49064,24200,11400,1,14403.06,15.76,2.14,3.88,-0.28,ETFs
18,112450,52500,38300,2,15738.28,20.01,0.86,1.33,-1.21,Real Estate
31,176890,15000,11600,0,2533.42,31.83,4.49,2.25,0.45,Bonds
37,181597,56300,43900,1,12128.33,30.08,1.39,3.86,1.88,Mutual Funds
44,24830,4500,2900,2,6544.3,12.15,3.87,1.09,-1.62,Real Estate
43,153501,31000,15800,0,7767.88,32.42,1.77,2.25,0.24,Bonds
24,142965,29100,20100,1,4646.64,11.59,4.16,2.15,0.21,ETFs
42,121381,14700,6300,2,3838.87,26.29,1.03,2.25,-3.22,Real Estate
38,52333,51200,36400,1,21079.01,17.8,3.9,3.68,1.25,ETFs
38,139508,5700,2600,1,14836.08,27.63,0.94,3.91,3.15,Mutual Funds
45,81213,12800,7800,1,1578.98,17.84,2.51,5.54,0.21,Mutual Funds
29,141967,47800,33500,0,6800.32,39.55,3.8,2.93,2.04,Gold
26,155810,52200,34500,1,8357.35,19.29,1.28,5.63,-1.88,Mutual Funds
